id,name,nameEn,class,classEn,subclass,subclassEn,faction,factionEn,rarity,race,raceEn,gender,genderEn
char_285_medic2,Lancet-2,Lancet-2,医疗,Medic,医师,Medic,罗德岛,Rhodes Island,1,机械,Robot,女,Female
char_286_cast3,Castle-3,Castle-3,近卫,Guard,无畏者,Dreadnought,罗德岛,Rhodes Island,1,机械,Robot,男,Male
char_376_therex,THRM-EX,Thermal-EX,特种,Specialist,处决者,Executor,罗德岛,Rhodes Island,1,机械,Robot,男,Male
char_4000_jnight,正义骑士号,"Justice Knight",狙击,Sniper,速射手,Marksman,卡西米尔,Kazimierz,1,机械,Robot,女,Female
char_4077_palico,泰拉大陆调查团,Terra Research Commission,狙击,Sniper,轰击手,Bombardier,罗德岛,Rhodes Island,1,未公开,Undisclosed,未知,Unknown
char_4091_ulika,U-Official,U-Official,辅助,Supporter,吟游者,Bard,罗德岛,Rhodes Island,1,机械,Robot,女,Female
char_4093_frston,Friston-3,Friston-3,重装,Defender,铁卫,Protector,罗德岛,Rhodes Island,1,机械,Robot,男,Male
char_4136_phonor,PhonoR-0,PhonoR-0,辅助,Supporter,巫役,Ritualist,罗德岛,Rhodes Island,1,机械,Robot,女,Female
char_4188_confes,CONFESS-47,CONFESS-47,先锋,Vanguard,尖兵,Pioneer,拉特兰,Laterano,1,机械,Robot,男,Male
char_4227_gallus,GALLUS²,GALLUS²,术师,Caster,中坚术师,Core Caster,罗德岛,Rhodes Island,1,机械,Robot,男,Male
char_4215_buddy,罗德岛隐秘队,Rhodes Island Recon,先锋,Vanguard,战术家,Tactician,罗德岛,Rhodes Island,1,未公开,Undisclosed,未知,Unknown
char_502_nblade,夜刀,Yato,先锋,Vanguard,尖兵,Pioneer,罗德岛,Rhodes Island,2,鬼,鬼,女,Female
char_500_noirc,黑角,Noir Corne,重装,Defender,铁卫,Protector,罗德岛,Rhodes Island,2,鬼,鬼,男,Male
char_503_rang,巡林者,Rangers,狙击,Sniper,速射手,Marksman,罗德岛,Rhodes Island,2,萨弗拉,萨弗拉,男,Male
char_501_durin,杜林,Durin,术师,Caster,中坚术师,Core Caster,罗德岛,Rhodes Island,2,杜林,杜林,女,Female
char_009_12fce,12F,12F,术师,Caster,扩散术师,Splash Caster,罗德岛,Rhodes Island,2,萨弗拉,萨弗拉,男,Male
char_123_fang,芬,Fang,先锋,Vanguard,尖兵,Pioneer,罗德岛,Rhodes Island,3,库兰塔,Kuranta,女,Female
char_240_wyvern,香草,Vanilla,先锋,Vanguard,尖兵,Pioneer,哥伦比亚,Columbia,3,瓦伊凡,瓦伊凡,女,Female
char_504_rguard,预备干员-近战,Reserve (Melee),先锋,Vanguard,尖兵,Pioneer,未知,Unknown,3,未知,Unknown,未知,Unknown
char_192_falco,翎羽,Plume,先锋,Vanguard,冲锋手,Charger,拉特兰,Laterano,3,黎博利,Liberi,女,Female
char_208_melan,玫兰莎,Melantha,近卫,Guard,无畏者,Dreadnought,罗德岛,Rhodes Island,3,菲林,菲林,女,Female
char_281_popka,泡普卡,Popukar,近卫,Guard,强攻手,Centurion,罗德岛,Rhodes Island,3,卡特斯,卡特斯,女,Female
char_209_ardign,卡缇,Cardigan,重装,Defender,铁卫,Protector,罗德岛,Rhodes Island,3,佩洛,佩洛,女,Female
char_122_beagle,米格鲁,Beagle,重装,Defender,铁卫,Protector,罗德岛,Rhodes Island,3,佩洛,Perro,女,Female
char_514_rdfend,预备干员-重装,Reserve (Defender),重装,Defender,铁卫,Protector,未知,Unknown,3,未知,Unknown,未知,Unknown
char_284_spot,斑点,Spot,重装,Defender,守护者,Guardian,罗德岛,Rhodes Island,3,瑞柏巴,瑞柏巴,男,Male
char_124_kroos,克洛丝,Kroos,狙击,Sniper,速射手,Marksman,罗德岛,Rhodes Island,3,卡特斯,Cautus,女,Female
char_211_adnach,安德切尔,Adnachiel,狙击,Sniper,速射手,Marksman,罗德岛,Rhodes Island,3,萨科塔,Sankta,男,Male
char_507_rsnipe,预备干员-狙击,Reserve (Sniper),狙击,Sniper,速射手,Marksman,未知,Unknown,3,未知,Unknown,未知,Unknown
char_121_lava,炎熔,Lava,术师,Caster,扩散术师,Splash Caster,罗德岛,Rhodes Island,3,萨卡兹,Sarkaz,女,Female
char_120_hibisc,芙蓉,Hibiscus,医疗,Medic,医师,Medic,罗德岛,Rhodes Island,3,萨卡兹,Sarkaz,女,Female
char_212_ansel,安赛尔,Ansel,医疗,Medic,医师,Medic,罗德岛,Rhodes Island,3,卡特斯,卡特斯,男,Male
char_506_rmedic,预备干员-后勤,Reserve (Logistic),医疗,Medic,医师,Medic,未知,Unknown,3,未知,Unknown,未知,Unknown
char_210_stward,史都华德,Steward,术师,Caster,中坚术师,Core Caster,罗德岛,Rhodes Island,3,沃尔珀,Vulpo,男,Male
char_505_rcast,预备干员-术师,Reserve (Caster),术师,Caster,中坚术师,Core Caster,未知,Unknown,3,未知,Unknown,未知,Unknown
char_278_orchid,梓兰,Orchid,辅助,Supporter,减速者,Decel Binder,罗德岛,Rhodes Island,3,黎博利,黎博利,女,Female
char_141_nights,夜烟,Haze,术师,Caster,中坚术师,Core Caster,维多利亚,Victoria,4,菲林,菲林,女,Female
char_109_fmout,远山,Gitano,术师,Caster,扩散术师,Splash Caster,萨米,Sami,4,萨弗拉,Savra,女,Female
char_253_greyy,格雷伊,Greyy,术师,Caster,扩散术师,Splash Caster,玻利瓦尔,Bolívar,4,佩洛,佩洛,男,Male
char_4051_akkord,协律,Akkord,术师,Caster,轰击术师,Blast Caster,莱塔尼亚,Leithanien,4,卡普里尼,卡普里尼,女,Female
char_328_cammou,卡达,Click,术师,Caster,驭械术师,Mech-Accord Caster,罗德岛,Rhodes Island,4,札拉克,札拉克,女,Female
char_469_indigo,深靛,Indigo,术师,Caster,秘术师,Mystic Caster,伊比利亚,Iberia,4,斐迪亚,斐迪亚,女,Female
char_4004_pudd,布丁,Pudding,术师,Caster,链术师,Chain Caster,哥伦比亚,Columbia,4,阿戈尔,阿戈尔,女,Female
char_235_jesica,杰西卡,Jessica,狙击,Sniper,速射手,Marksman,哥伦比亚,Columbia,4,菲林,菲林,女,Female
char_126_shotst,流星,Meteor,狙击,Sniper,速射手,Marksman,卡西米尔,Kazimierz,4,库兰塔,库兰塔,女,Female
char_190_clour,红云,Vermeil,狙击,Sniper,速射手,Marksman,叙拉古,Siracusa,4,沃尔珀,沃尔珀,女,Female
char_133_mm,梅,May,狙击,Sniper,速射手,Marksman,维多利亚,Victoria,4,黎博利,Liberi,女,Female
char_118_yuki,白雪,ShiraYuki,狙击,Sniper,炮手,Artilleryman,东国,Higashi,4,阿纳缇,Anaty,女,Female
char_440_pinecn,松果,Pinecone,狙击,Sniper,投掷手,Flinger,哥伦比亚,Columbia,4,黎博利,黎博利,女,Female
char_302_glaze,安比尔,Ambriel,狙击,Sniper,神射手,Deadeye,拉特兰,Laterano,4,萨科塔,萨科塔,女,Female
char_366_acdrop,酸糖,Aciddrop,狙击,Sniper,散射手,Spreadshooter,哥伦比亚,Columbia,4,黎博利,黎博利,女,Female
char_4062_totter,铅踝,Totter,狙击,Sniper,攻城手,Siege,萨尔贡,Sargon,4,黎博利,黎博利,男,Male
char_4100_caper,跃跃,Caper,狙击,Sniper,回环射手,Loopshooter,玻利瓦尔,Bolívar,4,卡特斯,卡特斯,女,Female
char_198_blackd,讯使,Courier,先锋,Vanguard,尖兵,Pioneer,喀兰贸易,Kjerag,4,依特拉,依特拉,男,Male
char_149_scave,清道夫,Scavenger,先锋,Vanguard,尖兵,Pioneer,罗德岛,Rhodes Island,4,札拉克,Zalak,女,Female
char_600_cpione,预备干员-先锋,Reserve Operator - Vanguard,先锋,Vanguard,尖兵,Pioneer,未知,Unknown,4,未知,Unknown,未知,Unknown
